Id,Label,timeset,username,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1966,,,win91275047,0,1,1,0,1,1,0,0,1,1,1,0
1967,,,world_news_eng,0,8,8,0,10,10,0,0,1,1,1,0
1968,,,Penny_G,0,1,1,0,1,1,0,0,1,1,1,0
1969,,,IzagaAngeles,0,1,1,0,1,1,0,0,1,1,1,0
1970,,,meredit71840781,0,1,1,0,1,1,0,0,1,1,1,0
1971,,,ReddySalina,0,1,1,0,1,1,0,0,1,1,1,0
1972,,,1Mr_Kenn,0,1,1,0,1,1,0,0,1,1,1,0
1973,,,furiosalizabeth,18,4,22,23,9,32,0.047619,0.120369,1,1,1,51
1974,,,ghostgirl_q,0,1,1,0,1,1,0,0,2,0.571429,0.625,0
1975,,,Kraken_the_hero,0,1,1,0,1,1,0,0,2,0.571429,0.625,0
1976,,,GundamNorthrop,0,1,1,0,1,1,0,0,2,0.571429,0.625,0
1977,,,Vic1668,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
1978,,,Loopdedo,0,1,1,0,1,1,0,0,1,1,1,0
1979,,,catboyjunhui_,7,1,8,8,1,9,0.142857,0.04681,0,0,0,0
1980,,,garbett_stephen,0,1,1,0,1,1,0,0,1,1,1,0
1981,,,ABCHK12345,0,1,1,0,1,1,0,0,1,1,1,0
1982,,,DrewPavlou,0,1,1,0,1,1,0,0,1,1,1,0
1983,,,BusinessEstate,1,1,2,1,1,2,0,0.006687,0,0,0,0
1984,,,queengramsey,5,1,6,7,1,8,0.2,0.033436,0,0,0,0
1985,,,julien201410,0,2,2,0,2,2,0,0,1,1,1,0
1986,,,zohrathought,0,1,1,0,2,2,0,0,1,1,1,0
1987,,,onerbicakci,0,1,1,0,2,2,0,0,1,1,1,0
1988,,,Pyrrho_Solon,0,1,1,0,1,1,0,0,1,1,1,0
1989,,,johangreg,0,6,6,0,8,8,0,0,1,1,1,0
1990,,,jbjasper,0,1,1,0,1,1,0,0,1,1,1,0
1991,,,ethiketmedias,0,1,1,0,1,1,0,0,3,0.478873,0.495098,0
1992,,,NoelleHannibal,5,1,6,5,1,6,0.2,0.033436,0,0,0,0
1993,,,bighireio,0,1,1,0,1,1,0,0,1,1,1,0
1994,,,LueRuiChao,0,1,1,0,1,1,0,0,1,1,1,0
